[00:09:28.600 --> 00:09:31.100]  今天的話大概我們是從兩個維度
[00:09:31.100 --> 00:09:32.700]  一個是趨勢
[00:09:32.700 --> 00:09:35.700]  就是正確的一個交易體系的一個搭建吧
[00:09:35.700 --> 00:09:36.900]  然後再到趨勢
[00:09:36.900 --> 00:09:38.800]  然後再到我們說的這個
[00:09:38.800 --> 00:09:42.500]  形我現在可能對於波浪的這兩個字
[00:09:42.500 --> 00:09:45.000]  或者是結構的這兩個字
[00:09:45.000 --> 00:09:47.600]  就我覺得就是最重要如果要是
[00:09:47.600 --> 00:09:49.400]  提煉的話就是形
[00:09:49.400 --> 00:09:51.700]  就是一個形一個字
[00:09:51.700 --> 00:09:54.600]  就是下午我們更多的是從形的角度去入手
[00:09:54.600 --> 00:09:57.900]  然後明天上午呢是從量價的角度去入手
[00:09:58.100 --> 00:10:01.100]  後天我們是從啊就是主力做盤
[00:10:01.100 --> 00:10:05.200]  就是思維量價就是站在博弈的角度去入手
[00:10:05.200 --> 00:10:06.800]  就是層層遞進
[00:10:06.800 --> 00:10:08.200]  可能同樣一個圖
[00:10:08.200 --> 00:10:10.300]  大家第一天認識的上午認識的
[00:10:10.300 --> 00:10:12.500]  就是對於趨勢的一個理解啊
[00:10:12.500 --> 00:10:13.700]  趨勢的一個關係
[00:10:13.700 --> 00:10:15.200]  然後第二天理解了
[00:10:15.200 --> 00:10:17.300]  理解的可能就是這個形的一個變化
[00:10:17.300 --> 00:10:19.900]  第三天我覺得明天和後天會比
[00:10:19.900 --> 00:10:20.700]  非常的重要
[00:10:20.700 --> 00:10:23.500]  特別是我接下來講量價關係的時候我覺得更重要
[00:10:23.500 --> 00:10:27.400]  因為為什麼我這次非常強調說量價關係更重要
[00:10:27.400 --> 00:10:31.400]  因為我們在做的基本上都學過波段天機或波段結構學
[00:10:31.400 --> 00:10:34.300]  對於形的掌握已經很扎實的認同吧
[00:10:34.300 --> 00:10:37.300]  大家對於形的掌握已經很扎實了
[00:10:37.300 --> 00:10:39.300]  但我們這一次要去要去
[00:10:39.300 --> 00:10:43.400]  或者我分享的過程中會去幫大家去打通的一點就是
[00:10:43.400 --> 00:10:45.000]  為什麼這個形
[00:10:45.000 --> 00:10:48.200]  它的這個就是以前我都會講一些成功的
