[00:00:00.000 --> 00:00:02.800]  你告诉我哪来的
[00:00:02.800 --> 00:00:04.000]  我这几个啊
[00:00:04.000 --> 00:00:05.200]  这个男生是吧
[00:00:05.200 --> 00:00:07.200]  不是 这都是男人
[00:00:07.200 --> 00:00:08.200]  我还不是他
[00:00:08.200 --> 00:00:10.200]  哈哈哈哈
[00:00:10.200 --> 00:00:12.200]  你自己弄啊
[00:00:12.200 --> 00:00:14.200]  哈哈哈哈
[00:00:14.200 --> 00:00:16.200]  你这我都受不了
[00:00:16.200 --> 00:00:18.200]  我原来都是
[00:00:18.200 --> 00:00:20.200]  都相信那个
[00:00:20.200 --> 00:00:22.200]  你自己弄啊
[00:00:22.200 --> 00:00:24.200]  你自己弄啊
[00:00:24.200 --> 00:00:26.200]  所以你自己泡了咖啡
[00:00:26.200 --> 00:00:28.200]  所以我泡了咖啡
[00:00:28.200 --> 00:00:30.200]  你先泡茶 先泡点茶
[00:00:30.200 --> 00:00:32.200]  喂
[00:00:32.200 --> 00:00:34.200]  哈哈哈哈
[00:00:34.200 --> 00:00:36.200]  你干啥
[00:00:36.200 --> 00:00:38.200]  哈哈哈哈
[00:00:38.200 --> 00:00:40.200]  我们都到齐了吧
[00:00:40.200 --> 00:00:42.200]  哈哈哈哈
[00:00:42.200 --> 00:00:44.200]  看着笑
[00:00:44.200 --> 00:00:46.200]  他要说说啥点差不多
[00:00:46.200 --> 00:00:48.200]  我来
[00:00:48.200 --> 00:00:50.200]  走回去啊
[00:00:50.200 --> 00:00:52.200]  好 我们
[00:00:52.200 --> 00:00:54.200]  人都到齐了吗
[00:00:54.200 --> 00:00:56.200]  那旁边是
[00:00:56.200 --> 00:00:58.200]  来了 来了
[00:00:58.200 --> 00:01:00.200]  张惠峰大姐还没在
[00:01:00.200 --> 00:01:02.200]  刚才
[00:01:02.200 --> 00:01:04.200]  刚才看到她
[00:01:04.200 --> 00:01:06.200]  好 我们
[00:01:06.200 --> 00:01:08.200]  今天的学习准备开始了
[00:01:08.200 --> 00:01:10.200]  我的呢
[00:01:10.200 --> 00:01:16.200]  怎么不行啊
[00:01:16.200 --> 00:01:18.200]  怎么不行啊
[00:01:18.200 --> 00:01:28.200]  昨天和大家重点分享的
[00:01:28.200 --> 00:01:30.200]  就是我们的交易的一个
[00:01:30.200 --> 00:01:32.200]  其实主逻辑啊
[00:01:32.200 --> 00:01:34.200]  昨天上午讲的更多的是交易的主逻辑
[00:01:34.200 --> 00:01:36.200]  然后呢 从知识的角度来说呢
[00:01:36.200 --> 00:01:38.200]  主要跟大家分享的
[00:01:38.200 --> 00:01:40.200]  如何去判断趋势的变化
[00:01:40.200 --> 00:01:42.200]  然后以及我们说的
[00:01:42.200 --> 00:01:44.200]  调整形态
[00:01:44.200 --> 00:01:46.200]  在开始量价
[00:01:46.200 --> 00:01:48.200]  K线和量注的这个知识点之前呢
[00:01:48.200 --> 00:01:50.200]  还要跟大家讲一个
[00:01:50.200 --> 00:01:52.200]  很重要的知识点
[00:01:52.200 --> 00:01:54.200]  就是怎么看三浪
[00:01:54.200 --> 00:01:56.200]  如何更加轻松
[00:01:56.200 --> 00:01:58.200]  简单的去判断这个
[00:01:58.200 --> 00:02:00.200]  接下来就是走三浪的一个
[00:02:00.200 --> 00:02:02.200]  预期 注意啊我加了两个字啊
[00:02:02.200 --> 00:02:04.200]  就是怎么样轻松
[00:02:04.200 --> 00:02:06.200]  简单的来判断
[00:02:06.200 --> 00:02:08.200]  他接下来会走三浪的预期
[00:02:08.200 --> 00:02:10.200]  不要翻课件了 课件上没有的
[00:02:10.200 --> 00:02:12.200]  哈哈哈哈
[00:02:14.200 --> 00:02:16.200]  听吧 课件上没有的
[00:02:16.200 --> 00:02:18.200]  我也编不来啊
[00:02:18.200 --> 00:02:20.200]  编的话就是一句话
[00:02:20.200 --> 00:02:22.200]  如何轻松的判断三浪
[00:02:22.200 --> 00:02:24.200]  啊 课件上没有
[00:02:24.200 --> 00:02:26.200]  但是把我们昨天的
[00:02:26.200 --> 00:02:28.200]  知识点结合起来 连贯起来
[00:02:28.200 --> 00:02:30.200]  因为昨天是不是教大家看
[00:02:30.200 --> 00:02:32.200]  转试和调整呢
[00:02:32.200 --> 00:02:34.200]  那昨天最后就是
[00:02:34.200 --> 00:02:36.200]  你们有三个同学是
[00:02:36.200 --> 00:02:38.200]  因为之前没有学过波段结构水素
[00:02:38.200 --> 00:02:40.200]  也稍微简单的和大家
[00:02:40.200 --> 00:02:42.200]  在书里的一下模型 对吧
[00:02:42.200 --> 00:02:44.200]  那其他的同学模型都记得吧
[00:02:44.200 --> 00:02:46.200]  还要不要再梳理
[00:02:46.200 --> 00:02:48.200]  记得的同学小维维
[00:02:48.200 --> 00:02:50.200]  你来过来帮我画一下 辛苦你一下
[00:02:50.200 --> 00:02:52.200]  五个 五个
[00:02:52.200 --> 00:02:54.200]  六个模型
