[00:00:00.000 --> 00:00:03.000]  大家學就應該學明白
[00:00:03.000 --> 00:00:04.760]  就是我盡我現在的認知
[00:00:04.760 --> 00:00:06.800]  因為這麼說吧
[00:00:06.800 --> 00:00:08.600]  18年我那個時候的認知
[00:00:08.600 --> 00:00:10.400]  我也是全新的在教的
[00:00:10.400 --> 00:00:14.040]  我的認知就在那個狀態中
[00:00:14.040 --> 00:00:17.960]  那像20年我們一起有一次聚會
[00:00:17.960 --> 00:00:19.360]  我們那個于姐他們
[00:00:19.360 --> 00:00:20.560]  對吧
[00:00:20.560 --> 00:00:22.160]  于姐是于姐
[00:00:22.160 --> 00:00:23.480]  不是華姐是于姐
[00:00:23.480 --> 00:00:24.280]  那有一次
[00:00:24.280 --> 00:00:26.080]  包括我們唐大哥他們那一次
[00:00:26.080 --> 00:00:28.360]  就是那一次上課也是我那個階段的認知
[00:00:28.360 --> 00:00:29.760]  全新的在教的
[00:00:29.760 --> 00:00:31.800]  對我這個人就是確實
[00:00:31.800 --> 00:00:34.360]  就是我現在認知是什麼我也不會保留
[00:00:34.360 --> 00:00:36.200]  但是因為大家都是什麼
[00:00:36.200 --> 00:00:37.880]  大家都真的是鐵桿
[00:00:37.880 --> 00:00:40.120]  我覺得這裡沒有地獄三年的吧
[00:00:40.120 --> 00:00:42.600]  除了我們這個小妹妹
[00:00:42.600 --> 00:00:44.120]  對吧沒有地獄三年的
[00:00:44.120 --> 00:00:45.400]  基本上都三年五
[00:00:45.400 --> 00:00:47.720]  甚至都是四年到五年
[00:00:47.720 --> 00:00:49.600]  五年啊
[00:00:49.600 --> 00:00:50.600]  對
[00:00:50.600 --> 00:00:53.760]  基本上都是六年普遍都在六年
[00:00:53.760 --> 00:00:56.440]  是像宋大哥都是六年了
[00:00:56.440 --> 00:00:58.320]  六七你是六七
[00:00:58.320 --> 00:00:59.920]  對吧我是二七
[00:00:59.920 --> 00:01:01.760]  你是二七對林姐是二七
[00:01:01.760 --> 00:01:03.440]  但因為都是18年嘛
[00:01:03.440 --> 00:01:05.120]  所以那教那就要好好的教
[00:01:05.120 --> 00:01:07.480]  大家發現現在學完之後就很輕鬆
[00:01:07.480 --> 00:01:08.800]  我就看股票啊
[00:01:08.800 --> 00:01:09.160]  對吧
[00:01:09.160 --> 00:01:12.480]  然後接下來我們今天上午呢主要學K線
[00:01:12.480 --> 00:01:14.680]  就是把式和結構來看
[00:01:14.680 --> 00:01:16.200]  我們來看一下這這句話
[00:01:16.200 --> 00:01:22.240]  結構是地基
[00:01:22.240 --> 00:01:24.160]  我昨天到今天
[00:01:24.160 --> 00:01:26.400]  今天上午現在我們休息之前啊
[00:01:26.400 --> 00:01:29.360]  是都在一直在講這一個
[00:01:29.360 --> 00:01:32.440]  結構是地基包括式
[00:01:32.440 --> 00:01:33.640]  這可以看得到
[00:01:33.640 --> 00:01:37.520]  現在我們就來看這個地基
[00:01:37.520 --> 00:01:40.080]  對吧這個地基的什麼
[00:01:40.080 --> 00:01:41.680]  健康與不健康
[00:01:41.680 --> 00:01:43.680]  因為不代表說我們能夠數出浪的
[00:01:43.680 --> 00:01:44.920]  它就非常好
[00:01:44.920 --> 00:01:46.640]  就像剛才小凡姐跟我說
[00:01:46.640 --> 00:01:47.520]  我說這個我看
[00:01:47.520 --> 00:01:49.600]  我說浪是結構也是符合的
[00:01:49.600 --> 00:01:51.120]  對吧我們用均線數
[00:01:51.120 --> 00:01:52.400]  三浪也是符合的
[00:01:52.400 --> 00:01:53.600]  但可能長得不怎麼好
[00:01:53.600 --> 00:01:54.840]  因為上漲就有壓力
[00:01:54.840 --> 00:01:57.160]  這是什麼這就是地基的問題
[00:01:57.160 --> 00:02:00.600]  啊就是地基裡面我們要看的就是量與價
[00:02:00.600 --> 00:02:02.440]  然後我們明天還要加上
[00:02:02.440 --> 00:02:04.840]  最近的這個活躍思維來講
[00:02:04.840 --> 00:02:07.760]  我們量價的過程中我們先學什麼
[00:02:07.760 --> 00:02:08.800]  量價這兩個嘛
[00:02:08.800 --> 00:02:10.520]  上面就是K線嘛對不對
[00:02:10.520 --> 00:02:11.920]  下面就是什麼
[00:02:11.920 --> 00:02:13.720]  成交量指標就不用看了
[00:02:13.720 --> 00:02:15.280]  啊指標都是你怎麼都
[00:02:15.280 --> 00:02:16.440]  我就告訴大家
[00:02:16.440 --> 00:02:18.240]  你都符合我的結構量價的
[00:02:18.240 --> 00:02:20.360]  那指標必然好的
[00:02:20.360 --> 00:02:21.400]  對吧必然就好的
[00:02:21.400 --> 00:02:22.320]  所以不用看
[00:02:22.320 --> 00:02:24.480]  那量價裡面呢我們先學價
[00:02:24.480 --> 00:02:26.160]  再學量
[00:02:26.160 --> 00:02:27.560]  為什麼呢
[00:02:27.560 --> 00:02:29.680]  請問大家量的變化多
[00:02:29.680 --> 00:02:31.840]  還是價的變化多
[00:02:31.840 --> 00:02:34.440]  價格的變化多對不對
[00:02:34.440 --> 00:02:36.400]  量嘛大不了就是放一放吧
[00:02:36.400 --> 00:02:37.520]  少放一點吧
[00:02:37.520 --> 00:02:39.040]  縮一縮嘛對不對
[00:02:39.040 --> 00:02:41.920]  但是這個量怎麼去理解它
[00:02:41.920 --> 00:02:43.360]  是用價來理解量
[00:02:43.360 --> 00:02:44.920]  還是量來理解價
[00:02:44.920 --> 00:02:52.960]  沒有這個量的價值是用價格來理解成交量的意義
[00:02:52.960 --> 00:02:55.520]  還是用成交量來理解價格
